type,denom,timestamp,amount,from_address,to_address,tx_hash
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-11 02:21:12,93999999.000000000000,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,terra14tlthgtg6ep6xnqptyg8dp3gcq4jxvgqmskwkd,EFB3D33B966C6F574D9BEB5A93A756B4FB235A74E3F549F97FB65203EEF2CC5E
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-11 14:35:26,93667100.000000000000,terra1ny3ndl9awztxn52ktuakw8zrtdkmvu0cc8g32g,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,6390DBD231301E41B993A5B8774B0CB852C32769DFDB85C2479A3576C5A799A0
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 18:16:01,90005000.000000000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra16t5ut0r7q8hl3gwnfefhqcesnuf6als23mdrsy,FBE0EF5D518E1FDE8EB72978A505382781FAB2FC4AA0E512587B4D0145BEFB53
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 18:18:04,90004982.310000000000,terra16t5ut0r7q8hl3gwnfefhqcesnuf6als23mdrsy,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,D298153D8722EA75704CE942E0E3B6CFBDFFE4B3E06EB4C92F0597C2A8396A07
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-07 18:28:06,90001357.310000000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12y2clukdlya7k4jk77uxapvmssrn8dj4hfnqd0,8311F7137DFDA30A152FBD8ECE9E5BB23E55C1903992314E7218E5CE0F17E17B
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-09 20:14:35,90000000.000000000000,terra1xpcsvh9w4cg07rq9ne8pvgg5277e0jtpk0kjcp,terra1xku9698k9fsrvehkz40n0uh0kyvqsd5zwkpxp2,7B2F1692F551F3B8BA82A6B9A078EBD0B1DFBBBFD682F6D56D8F58EF2FFDD909
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-09 22:05:50,90000000.000000000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,BC911B5C77E281DB1E553AF940C38BF704F95B25360370D00DDB4BAAB6825402
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 18:12:03,89996375.000000000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12y2clukdlya7k4jk77uxapvmssrn8dj4hfnqd0,F284B6D607B8C82FF29773E64163F3C0726A013BF21EE7CDE472D6C59534237D
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 05:16:29,89849432.670100000000,terra1al546tmrj0wmwfctcqkch47h57h23mch7d8xqa,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,98026267F98B07A3566A54F31EDE2746CDF5ED371E76E759E4A2AAAAF05162D2
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 05:17:14,89849414.980100000000,terra1n2pktlw69aujc6lfxchdtvaplhzqrpkhat82fs,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,5671AB14DABE21F6224393F9E144B8454D37250404813D9FC750D37648ED1749
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 05:25:33,89845789.980100000000,terra168sjh9s2ww5cq60yqyjprje52rrrc7q0pqgkca,terra12zrhmraajhzm2gzvfkxh4zprr4jh8wmw4wrgg5,618F0DE0DE6270B71420C720318B7019CA1E13FB72DF23D3AC65AD3229A8B289
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 21:52:47,85000000.000000000000,terra14tlthgtg6ep6xnqptyg8dp3gcq4jxvgqmskwkd,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,7E86F59362286D13599D728031666302836B158F385B9A18CE0AA883E826B475
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-11 06:29:50,80000000.000000000000,terra1ny3ndl9awztxn52ktuakw8zrtdkmvu0cc8g32g,terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5,068AA97CBDCA6989613E222B3FEFB36911B2FAAC2C90273D392A3B934124DF42
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-08 15:39:01,79553946.594084000000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,2FFE4E11641796649DE747410BB75286933C2879A36CA0798A2032B99FC52BB6
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-10 22:34:01,77499096.072926000000,terra1ymr5kleaj2xd6rq7tvph6psryj7a8r2rvq2u4h,terra1v9ku44wycfnsucez6fp085f5fsksp47u9x8jr4,CE70481E92CEF3507137F694CAE6358EEDBE9A5C3F965C49B448308A58A7E72B
/cosmos.bank.v1beta1.MsgSend,krw,2022-05-06 05:05:30,76114000.000000000000,terra1ta3zsamxtpn66u5sw5usy0w6mreep5eug9xmru,terra1v9ku44wycfnsucez6fp085f5fsksp47u9x8jr4,352194DA7231B06AC5EAD36AE4AB7FB35E6A86F552CF96476CB870A3AFF98B69
/cosmos.bank.v1beta1.MsgSend,usd,2022-05-10 08:43:22,75696800.407015000000,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,0B6372A7F22B7B1AF543AAF35E68750B067006C8F9C1F00344AFC0AD531AD78E
