type,timestamp,denom,amount,from_address,to_address,tx_hash
/cosmos.bank.v1beta1.MsgSend,2022-05-09 22:10:22,usd,10000000.000000000000,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,terra1le5u9a5xsx6lzwa3sfahrmcqdhqc674tq7mtun,F9F71914A11D1303E778238F848579478D54CC8D8E69DDC687F817ABBA7BA5C8
/cosmos.bank.v1beta1.MsgSend,2022-05-09 20:03:33,usd,10000000.000000000000,terra1nexqdq252acp09m9eler7jhg9kd3rqfzkek9r0,terra1xpcsvh9w4cg07rq9ne8pvgg5277e0jtpk0kjcp,1878285AB69072C2E137C44C0E5F6FA7D7436911FBC77343D11EE57AA01A24A0
/cosmos.bank.v1beta1.MsgSend,2022-05-09 21:45:22,usd,10000000.000000000000,terra1mr8j3d3gc56l97nstl2w5q9p4hehrfr82hy8yu,terra189rgutrsul7dm47u5h4y7hsraxnr9q4dk2fhjs,19517F0B49E30A430EC0A91F52F543FC9CB2A4D12440222C8478D60816B2BEC3
/cosmos.bank.v1beta1.MsgSend,2022-05-09 22:10:22,usd,10000000.000000000000,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,terra1wlc64fe7p6u37qq0vykeksmr40d6a6cscfcn28,F9F71914A11D1303E778238F848579478D54CC8D8E69DDC687F817ABBA7BA5C8
/cosmos.bank.v1beta1.MsgSend,2022-05-09 20:03:33,usd,10000000.000000000000,terra1g5dmf4qpmdrcw77d3ty6djrgujt8r2n3lgyknj,terra1xpcsvh9w4cg07rq9ne8pvgg5277e0jtpk0kjcp,8AE4CD2FC44A66D4C1966A072F636A86601D48C09A5714881428E7C8F3E73207
/cosmos.bank.v1beta1.MsgSend,2022-05-09 22:10:22,usd,10000000.000000000000,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,terra15nuyg54943gy2fj6u8cg8emeql8g6cpw2s2gnp,F9F71914A11D1303E778238F848579478D54CC8D8E69DDC687F817ABBA7BA5C8
/cosmos.bank.v1beta1.MsgSend,2022-05-09 20:05:39,usd,10000000.000000000000,terra14ny376fe7hys2zqxwc87zp2achp9tju5q6jul4,terra1xpcsvh9w4cg07rq9ne8pvgg5277e0jtpk0kjcp,4AFE492615D2D3C54736D719C5E71CE8C4F71D492E114FD68662E2AB8199CB29
/cosmos.bank.v1beta1.MsgSend,2022-05-09 20:03:40,usd,10000000.000000000000,terra1t8szgklntcwxyfyflucuq895gpjr8wn6tsqxye,terra1xpcsvh9w4cg07rq9ne8pvgg5277e0jtpk0kjcp,29E03915C921E3DB174C11CE50849BF5E45572FCFAA763817F57143B5BFB8D42
/cosmos.bank.v1beta1.MsgSend,2022-05-09 22:00:57,usd,10000000.000000000000,terra1xmr5j80l7446zqrn2093vl7tl37ulsdv97y69k,terra13t7x0glk0e6ln5zwdc8uudmylnhmmqf3tfqdc2,B0B0F0E14D26A82A6251C196EDDE908AB69C666F8B1947AE51F29F2F8DAD3BCC
/cosmos.bank.v1beta1.MsgSend,2022-05-09 22:10:22,usd,10000000.000000000000,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,terra1404rdkfaj5ag8ukejtqutx0wszf44y6jwd7evq,F9F71914A11D1303E778238F848579478D54CC8D8E69DDC687F817ABBA7BA5C8
/cosmos.bank.v1beta1.MsgSend,2022-05-09 22:10:22,usd,10000000.000000000000,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,terra1ly9s5rpk0nn2sv8v5kxhrwkp3d48ytnxn6e5yj,F9F71914A11D1303E778238F848579478D54CC8D8E69DDC687F817ABBA7BA5C8
/cosmos.bank.v1beta1.MsgSend,2022-05-09 20:02:43,usd,10000000.000000000000,terra1lewnh53gt0hzgjejrtwdz8q7dennz09s6ds4k2,terra1xpcsvh9w4cg07rq9ne8pvgg5277e0jtpk0kjcp,F991EF1B857500E40FA227D4EB92466CD278179225A733E20769CD6F26FCDF16
/cosmos.bank.v1beta1.MsgSend,2022-05-09 20:05:01,usd,10000000.000000000000,terra12qmfcxy8kahwt44tn4aq4t6kdmtyer38xnrh7m,terra1xpcsvh9w4cg07rq9ne8pvgg5277e0jtpk0kjcp,130294722FF208C319D97891220E21D580357231ACC8B14198EC94A09D6EAC73
/cosmos.bank.v1beta1.MsgSend,2022-05-09 20:02:36,usd,10000000.000000000000,terra1v49w0m38fe87edhqdv30w96wq0pz6u6548q9gj,terra1xpcsvh9w4cg07rq9ne8pvgg5277e0jtpk0kjcp,C2A404F1E26D758CA7AB4660A136B6711240122D4F5252B48AD6F8DD53AB85BB
/cosmos.bank.v1beta1.MsgSend,2022-05-09 22:10:22,usd,10000000.000000000000,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,terra1yca6ukeesx6p2393amm0y97m0qyqmntuzwenrx,F9F71914A11D1303E778238F848579478D54CC8D8E69DDC687F817ABBA7BA5C8
/cosmos.bank.v1beta1.MsgSend,2022-05-09 22:10:22,usd,10000000.000000000000,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,terra1xp0t0suwjfsm708ptxtfhheq2d72fsuehvttgu,F9F71914A11D1303E778238F848579478D54CC8D8E69DDC687F817ABBA7BA5C8
/cosmos.bank.v1beta1.MsgSend,2022-05-09 22:10:22,usd,10000000.000000000000,terra19prvtg0g32x6044xw87nj2xpslgynads5qqqqq,terra1pp8d7k749aahvdawpnry89auhdyu43ru6at93g,F9F71914A11D1303E778238F848579478D54CC8D8E69DDC687F817ABBA7BA5C8
/cosmos.bank.v1beta1.MsgSend,2022-05-02 20:11:43,usd,10000000.000000000000,terra1jucupy5asr7y345jnvcdueajjce6qjuzz60w3v,terra18stqylv6z5l5jkqupvadxjcclcqysyr2tuyy4f,AA6F065A38380562F39B245D3F7989B199F3DE7AB51787AEDE0B8CBCA119793A
/cosmos.bank.v1beta1.MsgSend,2022-05-02 19:24:13,usd,10000000.000000000000,terra1jucupy5asr7y345jnvcdueajjce6qjuzz60w3v,terra18stqylv6z5l5jkqupvadxjcclcqysyr2tuyy4f,27A2F4F28ABC8DEF49FAD1B591F75DB0090F0D5439F0B9376D2BCC7EC9C26593
